skill_id,codename,name,short_name,category,n_levels,level_1,level_2,level_3,level_4,level_5,param,text_source
flameshield,FlameShield,Flame Shield,-,defend,5,Blocks up to 0.35x Focus SkillType.Fire damage taken for each stack of Overheat. Consumes Overheat.,Blocks up to 0.35x Focus SkillType.Fire damage taken for each stack of Overheat.,Deals 0.5x Focus SkillType.Fire damage to attackers,Blocking damage gains Overheat, damage and deals SkillType.Fire damage to attackers.,[0.5;2.0;2;3;4],pool
flamethrower,Flamethrower,Flamethrower,-,fight,1,Deals 1x Power SkillType.Fire damage and 0.5x Power SkillType.Fire damage every turn for 3 turns.,-,-,-,-,[0.25;0.35;0.4;0.5;0.85;1.5;2.0;2.5;2;3;4],pool
flashheal,FlashHeal,Flash Heal,-,root,2,Bonus Action. Heals an ally for 1.5x Focus. Two turn charge.,"Heals up to double, based on target's missing HP",-,-,-,[0.2;1.0;2.0;2;3],pool
flight,Flight,Flight,Flight,root,3,Replace Guard Strike and Penance with Strafe and Grab. Become untargetable for 3 turns. Three turn charge.,Increases Speed by 50%,Increases Power by 50%,-,-,[-20.0;0.15;0.5;1.0;1.5;2;3],json
flintlock,Flintlock,Flintlock,-,defend,2,Damage increased by .35x Technique,"Turn delay decreased by 5% for each stack of SkillType.Alcohol on OWNER.NAME, max 25%",-,-,-,[0.05;0.35;1.0;3;2],pool
flit,Flit,Flit,Flit,defend,3,Swap position and grant target ally 10% Turn Progress.,Target gains double dodge chance for 1 turn,Activates Pixie Dust after shifting,-,-,[0.04;0.05;10.0;3],json
flourish,Flourish,Flourish,Flourish,fight,3,"Deals 1.25x Power SkillType.Physical damage to target enemy, with a 10% decreased chance to hit.",Increases dodge chance by 25% until next turn,Damage increased by 10% for each stack of SkillType.Alcohol on OWNER.NAME,-,-,[0.1;0.25;0.33;0.41;0.49;0.5;1.0;1.25;2;3],json
flurry,Flurry,Flurry,-,fight,1,Deals 0.3x Power SkillType.Physical damage to an enemy three times.,-,-,-,-,[0.15;0.25],pool
forcefield,Forcefield,Forcefield,Forcefield,root,1,Blocks damage and deals energy thorns damage on melee hit.,-,-,-,-,[0.33;0.5;0.66;0.75;0.99;1.0;1.32;1.5;1.75;2;3;4],json
forcefieldsparkle,ForcefieldSparkle,Forcefield Sparkle,-,root,0,-,-,-,-,-,-,name-only
fourpillars,FourPillars,Four Pillars,-,root,1,Access the Four Elemental Pillar skills. Requires Zen Trance.,-,-,-,-,[0.5;1.5;2;7],pool
foxfire,Foxfire,Foxfire,-,defend,3,Strongest enemy takes 1x Discipline + SkillType.Fire damage equal to 75% of missing party HP.,Heals allies for 75% of missing HP,Restores 50% of allies' missing MP,-,-,[0.6;0.7;0.75;1.0;1.75;2.25;30.0;2],pool
fragility,Fragility,Fragility,-,root,0,-,-,-,-,-,[-20.0;0.1;0.15;0.25;0.5;0.75;1.0;1.5;20.0;2;3],name-only
freezeray,FreezeRay,Freeze Ray,Freeze Ray,root,3,Deals 90-120 SkillType.Ice damage to target enemy. 1 use.,Non-boss target becomes frozen and cannot act or dodge for 2 turns,Target takes 30-40 piercing SkillType.Ice damage when hit,-,-,[0.2;0.25;0.35;0.5;0.7;0.8;0.85;1.0;3.0;2;3],json
freezingwind,FreezingWind,Freezing Wind,Frz Wind,map,1,Causes SkillType.Ice damage after every turn and decreases speed.,-,-,-,-,[0.05;0.65;1.0],json
frenzy,Frenzy,Frenzy,Frenzy,defend,3,"Bonus Action. Increases Speed by 50% and damage dealt by 35%, but lose control.",Immune to SkillType.Stun and SkillType.Sleep damage,Cannot be downed while active,-,-,[0.35;0.5;1.0;1.5;3;2],json
frostray,FrostRay,Frost Ray,-,defend,2,Deals 1.2x Focus SkillType.Ice damage and decreases target Speed by 50% for 1 turn.,Deals 1.2x Focus SkillType.Ice damage and decreases target SPD by 50% for 1 turn.,-,-,-,[0.35;0.5;40.0],pool
frostshield,FrostShield,Frost Shield,Frost Shld,root,3,Blocks up to 2x Focus damage on target ally.,Ally is immune to SkillType.Stun damage,Ally gains Focus equal to 20% of OWNER.NAME's Focus,-,-,[0.2;0.25;0.66;0.95;1.0;1.5;3;2;4],json
froststrike,FrostStrike,Frozen Kick,Frozen Kick,root,3,Deals 1.2x Power SkillType.Physical and SkillType.Ice damage to target enemy.,Decreases target's Toughness by 35% for 3 turns,Increases SkillType.Fire SkillType.Lightning and SkillType.Ice damage taken by target by 35%,-,-,[0.01;0.15;0.25;0.35;0.65;0.85;1.0;1.05;1.3;2.35;3],json-size
frozenbomb,FrozenBomb,Frozen Bomb,Frozen Bomb,enemy,1,"Deals SkillType.Ice damage to enemies in an area, and decreases their speed.",-,-,-,-,[0.5;0.7;0.8],json
frozensolid,FrozenSolid,Frozen Solid,-,enemy,1,"Target cannot act for 1 turn and decreases target Toughness by 50%, and Agility to zero.",-,-,-,-,[0.2;0.5;0.8;0.9;1.0;2.0;2.25;2;3;4],pool
fuse,Fuse,Fuse Countdown,Fuse,enemy,1,Explode after 3 turns.,-,-,-,-,[1.0],pool
gadgetkit,GadgetKit,Gadget Kit,-,fight,0,-,-,-,-,-,[2;7],name-only
gaiasembrace,GaiasEmbrace,Gaias Embrace,-,root,0,-,-,-,-,-,[0.1;0.2;0.25;0.35;0.4;0.5;2;3;5],name-only
gammakaze,GammaKaze,Gamma Kaze,-,enemy,0,-,-,-,-,-,[0.1;0.2;0.25;0.35;0.66],name-only
gammawave,GammaWave,Gamma Wave,Gamma Wave,enemy,1,"Decreases all enemy Speed and Toughness by 15%, and deals 0.5x Focus SkillType.Poison damage over time for 6 turns. Cannot miss.",-,-,-,-,[0.5;0.85;1.0;1.5;2.0;3.5;2;3;4],json
gather,Gather,Gather Shadows,Gather,enemy,3,Unleashes a Shadow Driver after 1 turn. Channeled. Damage taken from hits while channeling is decreased by 50% and is added to Shadow Driver's damage.,Shadow Driver also damages adjacent enemies for 50%,Shadow Driver always hits,-,-,[0.25;0.4;0.5;1.0;1.25;1.5;2.0;2;3;4;7],json-size
gavel,Gavel,Gavel,-,fight,2,Deals 200-300 SkillType.Stun damage to an enemy.,Deals 50 additional damage for each SkillType.Debuff on the target,-,-,-,[2;3],pool
gaze,Gaze,Gaze,Gaze,enemy,1,Force target enemy to attack an adjacent teammate and take SkillType.Dark damage for 3 turns. Doubles their Power. Channeled.,-,-,-,-,[7;2],json
geniusbase,GeniusBase,Genius Base,-,transform,1,"Return to Claire's unarmored state, with access to her standard tool kit.",-,-,-,-,-,pool
geniusfrozen,GeniusFrozen,Genius Frozen,-,transform,1,Transform into Claire's Frozen form.,-,-,-,-,-,pool
geniushacker,GeniusHacker,Genius Hacker,-,transform,1,Transform into Claire's Hacker form.,-,-,-,-,-,pool
geniusinscriber,GeniusInscriber,Genius Inscriber,-,transform,1,Transform into Claire's Inscriber form.,-,-,-,-,-,pool
geniusoccultist,GeniusOccultist,Genius Occultist,-,transform,1,Transform into Claire's Occultist form.,-,-,-,-,-,pool
geniusscavenger,GeniusScavenger,Genius Scavenger,-,transform,1,Transform into Claire's Scavenger form.,-,-,-,-,-,pool
geniustank,GeniusTank,Genius Tank,-,transform,1,Equip Claire's heavy battle armor.,-,-,-,-,-,pool
geniustransform,GeniusTransform,Genius Transform,-,transform,0,-,-,-,-,-,[1.0;1.25;30.0],name-only
givetreat,GiveTreat,Give Treat,-,root,3,Target ally is healed for 50% Max HP and dispels 1 SkillType.Debuff on target.,"If target is a Beast, it gains a Free Turn","If target has a summon, the summon gains a Free Turn",-,-,[0.5;0.75;2;3],pool
gladius,Gladius,Gladius,-,fight,3,Deals 1.25x Power SkillType.Physical damage to target. Increases AGI by 25% for one turn. Shift to front row.,Deals 1.25x Power SkillType.Physical damage. Increases AGI by 25%. Shift to front row.,Decreases target's SkillType.Healing received by 50% for 3 turns.,-,-,[0.5;1.0;1.25;1.5;2;7],pool
glowoval,GlowOval,Glow Oval,-,root,0,-,-,-,-,-,[0.1;0.25;0.3;0.45;1.25;1.75;1.8],name-only
gluebomb,GlueBomb,Glue Bomb,Glue Bomb,root,3,Decreases target Speed and Agility by 50% and target is Rooted for 3 turns. 1 use.,Non-boss target loses all current turn progress,35% chance to interrupt target's skills,-,-,[-15.0;0.5;0.8;1.0;2.0;15.0;35.0;3;2],json
glueburst,GlueBurst,Glue Burst,Glue Burst,inventions,1,Decreases target Speed and Agility by 50% and targets are Rooted for 3 turns.,-,-,-,-,-,json
goadingstrike,GoadingStrike,Goading Strike,GoadStrike,fight,1,Deals 1.35x Power SkillType.Physical damage and Taunts target.,-,-,-,-,[1.15;2;3],pool
gore,Gore,Gore,Gore,fight,3,"Deals SkillType.Physical damage, causes bleeding, and decreases SkillType.Healing received.","Deals SkillType.Physical damage, causes bleeding, and decreases SkillType.Healing received.","Deals SkillType.Physical damage, causes bleeding, and decreases SkillType.Healing received.",-,-,[0.01;0.1;0.15;0.2;0.75;1.0;3;5],json
grab,Grab,Grab,Grab,root,3,"Pick up a non-boss target. Target cannot act and is dropped on OWNER.NAME's next turn, or when Flight ends, for 1x Speed SkillType.Physical damage.",Also deals SkillType.Stun damage,Deals 25% increased damage,-,-,[-40.0;-20.0;0.015;0.15;0.2;0.5;1.0;1.2;20.0;40.0],json
grandfinale,GrandFinale,Grand Finale,Gr Finale,root,3,All other allies gain the effects of Illusion skill. Four turn charge.,OWNER.NAME dodges all damage for 1 turn,Allies are healed for 50% Max HP and MP,-,-,[0.2;2.5;2],json
grapeshot,GrapeShot,Grapeshot,-,root,0,-,-,-,-,-,-,name-only
grapplinghook,GrapplingHook,Grappling Hook,-,root,0,-,-,-,-,-,[0.25;36.0;3;2],name-only
gravescall,GravesCall,Grave's Call,Grv's Call,root,3,"Deals up to 5.5x Focus SkillType.Dark damage to an enemy, based on target's missing HP.",Deals up 2x Focus SkillType.Dark damage over time for 2 turns,"Target is instantly killed, instead of bleeding out, if Downed",-,-,[0.25;0.36;0.4;0.5;10.0;3;5],json
gravity,Gravity,Gravity,-,tbreak,1,"All allies gain the Rooted trait, making them unable to be shifted.",-,-,-,-,-,pool
greatshell,GreatShell,Great Shell,-,defend,3,Blocks up to 5x Discipline damage taken from hits for party. Ends Sword Spirit.,Reduces damage taken by 35% while active,Hits have a 35% chance to miss allies while active,-,-,[0.35;0.5;0.65;35.0;3;2;4],pool
grenade,Grenade,Grenade,-,root,1,Deals 100-150 SkillType.Physical and 50-70 SkillType.Fire damage to target enemies. One use.,-,-,-,-,[0.4;3;2],pool
grenadeexplosion,GrenadeExplosion,Grenade Explosion,-,root,2,Dispel 1 SkillType.Debuff from self for each Sin,Gain 1 Resist for each Sin,-,-,-,-,pool
grenadepunch,GrenadePunch,Grenade hits twice,-,root,0,-,-,-,-,-,[0.01;0.1;0.125;0.25;0.3;0.35;0.625;1.125;1.475;1.5;1.625;2.375;2.525;2;3],name-only
groundglow,GroundGlow,Ground Glow,-,root,0,-,-,-,-,-,[0.4;0.5;2.0],name-only
growl,Growl,Growl,Growl,enemy,1,"Increases Power, Speed, and Technique for all allies.",-,-,-,-,[0.015;0.1;0.15;0.2;1.0;1.25;2.0;16.0],json
guardstrike,GuardStrike,Guard Strike,Guard Strk,root,3,Deals 0.66x Power SkillType.Physical damage and decreases damage taken by 25% for 1 turn.,Lasts 2 turns,Counter attack incoming SkillType.Melee skills while active,-,-,[0.75;3;2;7],json
guitarsolo,GuitarSolo,Guitar Solo,-,root,1,Deals 0.65x Tech SkillType.Sonic damage to random enemies up to 10 times.,-,-,-,-,[0.25;0.5;1.0;1.5;3.5;26.0],pool
gunplay,Gunplay,Gunplay,-,defend,1,Access ranged Gunplay skills.,-,-,-,-,[2;7],pool
hack,Hack,Hack,-,root,4,Target enemy takes 2x Focus SkillType.Stun damage and non-Boss loses 50% of current turn progress. Double damage vs Mechanical.,Target takes 2x FCS SkillType.Stun damage and non-Boss loses 50% turn progress. 2x vs Mech.,"Dispels 1 SkillType.Buff on target, +1 for each stack of RAM",Deals .75x Focus SkillType.Lightning damage for each SkillType.Buff dispelled,-,[2.0;3],pool
halt,Halt,Halt,Halt,fight,3,Target enemy's turn progress is decreased by 50%.,Target's speed decreased by 10% for 3 turns,Target's next skill deals 50% decreased damage or healing,-,-,[0.5;0.8;0.9;3;7],json
harmbeam,HarmBeam,Beast Slayer,Beast Slayer,fight,1,"Deal 25% increased damage to Beast enemies, but 15% reduced damage to Mechanical and Undead enemies.",-,-,-,-,[0.2;0.4;0.5;0.6;1.0;3;2;4],json-size
harvest,Harvest,Harvest,Harvest,fight,1,Deals SkillType.Physical damage and causes bleeding for 3 turns.,-,-,-,-,[0.1;0.5;33.0],json
haste,Haste,Haste,Haste,tbreak,1,Give one ally an immediate turn and increase their speed by +100 for 5 turns.,-,-,-,-,-,json
hasteenemy,HasteEnemy,Haste Enemy,-,tbreak,0,-,-,-,-,-,-,name-only
hatchmaggot,HatchMaggot,Hatch Maggot,-,enemy,1,Summons a Maggot in the egg's place.,-,-,-,-,[0.04;0.1;0.5;0.65;0.98;1.03],pool
hatchspiderling,HatchSpiderling,Hatch Spiderling,Hatch,enemy,1,Summons a spiderling in the egg's place.,-,-,-,-,[0.1;0.2;0.4;0.65;0.75;1.25;15.0],pool
haunt,Haunt,Haunt,Haunt,root,3,Deals 0.5x Focus SkillType.Dark damage every turn for 3 turns.,Damage increases by 25% every turn,Transfers to another enemy on end,-,-,[0.15;0.25;0.3;0.6;1.35;2.25;3;5],json
haymaker,Haymaker,Haymaker,-,root,3,"Deals 1.35x Power SkillType.Physical damage to an enemy, with a 10% decreased chance to hit.",35% increased damage,Also deals 4x the damage dealt as SkillType.Stun damage,-,-,[1.35;4.0;3;2],pool
headbutt,Headbutt,Headbutt,-,root,0,-,-,-,-,-,[0.015;0.15;0.25;0.4;0.75;1.0;1.5;1.75],name-only
healbeam,HealBeam,Heal Beam,-,drone,1,Heals an ally for a moderate amount.,-,-,-,-,[0.2;0.25;0.4;0.5;0.6;1.0;3;2],pool
healingaria,HealingAria,Healing Aria,Heal Aria,root,3,Song. Heals allies for 0.35x OWNER.NAME's Technique at the end of OWNER.NAME's turn.,Dispels one SkillType.Debuff when healing,Heals weakest ally twice,-,-,[1.0;1.25;1.5;2.25],json
healingrain,HealingRain,Healing Rain,HealRain,root,2,All allies heal for 0.75x Focus for three turns.,Removes one SkillType.Debuff per heal,-,-,-,[0.33;0.5;1.0;1.5;2],pool
healingtonic,HealingTonic,Healing Tonic,Heal Tonic,root,3,"Heals target for 50% Max HP, but target has a 35% chance to lose control. Three uses.",Decreases SkillType.Stun damage taken by 25%,Increases Power and Toughness by 15%,-,-,[0.5;0.75;1.0;1.15;30.0;35.0;2;3],json
healingvapors,HealingVapors,Healing Vapors,HealVprs,root,3,Reduces SkillType.Poison damage taken by 80% for all allies for 3 turns.,"After Ambroise's turn, allies gain 3 Resist","After Ambroise's turn, heals allies for 5% Max HP per Plague",-,-,[0.05;0.07;0.2;0.25;0.3;0.5;0.6;0.66;0.7;1.0;1.2;2.0;15.0;3],json
healingwisp,HealingWisp,Healing Wisp,-,root,2,Summon a wisp that casts Regrowth. Lasts 5 turns.,Wisp gains 50% of your Focus,-,-,-,[0.25;0.5;2;3],pool
healingword,HealingWord,Healing Word,-,root,3,Heals an ally for a 0.8x Focus.,Also heals a second random ally,Decreased turn delay,-,-,[0.1;0.2;0.25;0.35;0.4;0.6;0.9;1.35;1.6;3],pool
healwave,HealWave,Heal Wave,-,drone,1,Heals all allies for a moderate amount.,-,-,-,-,[0.6;1.0],pool
heartbreak,Heartbreak,Heartbreak,-,enemy,0,-,-,-,-,-,[-15.0;0.015;0.15;0.2;0.25;0.4;0.5;1.0;2.0;2.3;2.5;14.0;15.0;23.0],name-only
heatwaveskill,HeatWaveSkill,Heat Wave,HeatWaveSkill,enemy,2,Deals SkillType.Fire damage to everyone in the battle.,Deals SkillType.Lightning damage to everyone in the battle.,-,-,-,[0.25;0.5;1.0],pool
heavyarmor,HeavyArmor,Heavy Armor,-,defend,2,Grants shield equal to 7.5x Focus when in Steam Mech., damage when in Steam Mech.,-,-,-,[0.5;1.25;7.5;2;3;4],pool
heavycannon,HeavyCannon,Heavy Cannon,-,fight,1,Deals Physical and Stun damage to an enemy.,-,-,-,-,-,pool
heavydronelaser,HeavyDroneLaser,Heavy Drone Laser,-,enemy,0,-,-,-,-,-,-,name-only
heavyrocket,HeavyRocket,Heavy Rocket,-,enemy,1,Deals Physical damage to enemies in an area.,-,-,-,-,[1.25;1.5],pool
hellclaws,Hellclaws,Hellclaws,-,root,1,Deals 0.35x Power SkillType.Physical damage to enemies three times.,-,-,-,-,[0.25],pool
hellride,HellRide,Hell Ride,-,root,0,-,-,-,-,-,[0.2;0.25;0.45;0.5;1.0;1.5;2.0;2.35;2.5;4.0;20.0;2;3],name-only
hex,Hex,Hex,-,fight,4,Bonus action. Target takes 25% more damage from damage over time effects. Cannot be resisted.,Bonus action. Target takes 25% more damage from damage over time effects.,Removes all resist stacks,Deals 3x Focus SkillType.Dark damage if dispelled,-,[0.25;1.0;3.0;3;2;5],pool
hibernate,Hibernate,Hibernate,Hibernt,root,3,"Fall asleep, but regain 50% of max HP and MP. Automatically wake at turn start if full HP. 3 turn charge.",Gain Ambush after use,Automatically activate when critical,-,-,[0.15;0.25;1.0;3],json
hide,Hide,Hide,Hide,root,3,Cannot be directly targeted by enemies and decreases damage taken by 50% for 1 turn.,Decreases damage taken by 75%,Dispels all SkillType.Debuff on use,-,-,[0.15;0.25;0.5;0.8;1.0;3;2],json
hologram,Hologram,Hologram,-,enemy,1,Summon a clone of a random enemy for 5 turns.,-,-,-,-,[0.25;0.7;2;7],pool
holoprojector,HoloProjector,Holo Projector,Holo Proj.,enemy,1,Summon 3 clones of a random enemy for 5 turns in random summon slots.,-,-,-,-,[0.25;0.7;2;7],pool
holyblast,HolyBlast,Holy Blast,-,root,0,-,-,-,-,-,[0.1;0.15;0.25;0.3;0.55;0.75;0.9;1.0;1.2;1.55;1.65;1.66;50.0;3;2],name-only
holylance,HolyLance,Holy Lance,-,fight,1,Deals 1.25x Power SkillType.Holy damage to a column.,-,-,-,-,-,pool
holyrays,HolyRays,Holy Rays,-,root,2,Gain the lost HP as MP,Deal up to 35% increased damage based on missing HP,-,-,-,[0.5],pool
holyshield,HolyShield,Holy Shield,HolyShld,root,4,Blocks up to 1x Focus damage taken by target ally.,Heals for 1x the damage blocked,Increases all target attributes by 25% while active, damage and heals for 2x the damage blocked.,-,[0.25;0.4;0.5;1.25;3;2;4],pool
holywrath,HolyWrath,Holy Wrath,-,root,2,Deals 1x Power SkillType.Physical and SkillType.Holy damage to enemies in an area.,Pierces 35% of defenses,-,-,-,[0.01;0.05;0.07;0.15;0.2;0.25;0.3;0.35;0.5;0.6;0.7;1.0;1.2;1.4;1.65;3;2],pool
hook,Hook,Hook,-,root,3,Deals 0.5x Power SkillType.Physical and SkillType.Stun damage per Combo. Consumes Combo. Charges when gaining Combo.,Deals 0.5x Power SkillType.Physical and SkillType.Stun damage per Combo. Charges when gaining Combo.,Target loses all turn progress,-,-,[0.01;0.15;0.5;0.7;1.5;2.0;3;2],pool
hotandsteamy,HotAndSteamy,Hot and Steamy,Hot Steamy,enemy,1,Deals 1x Power SkillType.Fire damage and decreases target toughness and discipline.,-,-,-,-,[0.5;1.0;1.5],json
howl,Howl,Howl,-,enemy,3,"Increases Power, Speed, and Technique by 25% for all allies.",Reduces damage taken by 50% while critical,Allies gain 35% turn progress,-,-,[0.5;1.0;1.25;2],pool
huntertools,HunterTools,Hunter Tools,-,root,1,Access Vampire Hunter Tools.,-,-,-,-,[2;7],pool
hyperbeam,HyperBeam,Hyper Beam,-,root,2,Drains all Nuclear Battery charge and deals 2x Power SkillType.Energy damage to all enemies. 3 turn charge. Cannot miss.,Drains all Nuclear Battery charge and deals 2x POW SkillType.Energy damage to all enemies.,-,-,-,[0.0014;0.5;0.7;0.85;1.5;1.6;2;3],pool
hypeup,HypeUp,Hype Up,Hype Up,root,3,Allies gain 50% increased Speed until their next turn. Three turn charge.,Allies deal 50% more damage their next turn,Allies gain turn 50% progress,-,-,[0.15;0.25;0.5;0.9;1.0;1.4;1.5;1.6;50.0;2],json
hypnosis,Hypnosis,Hypnosis,Hypnosis,city,1,Sleeping enemies lose 15% speed.,-,-,-,-,[0.85],json
hypnotize,Hypnotize,Hypnotize,Hypnotize,defend,3,Deal 2x TEC SkillType.Sleep damage per turn for 3 turns or until target non-boss falls asleep. Damage doubles every turn. Channeled.,Damage taken by target does not decrease sleep,Target's SPD decreased by 75% while channeling,-,-,[0.25;3;2],json
ice,Ice,Ice,-,root,3,Deals 1.5x Focus SkillType.Ice damage to target enemy.,Also deals 1x Focus SkillType.Stun damage with Echoing Glyph,Deals 50% more damage with Piercing Glyph,-,-,[1.5;2;3],pool
icespike,IceSpike,Ice Spike,-,root,1,Deals 0.8x Focus SkillType.Ice damage to target then half damage in area.,-,-,-,-,[0.005;0.025;0.25;0.5],pool
icevolley,IceVolley,Ice Volley,-,enemy,1,Deals 0.2x Toughness piercing SkillType.Ice and SkillType.Physical damage 6 times to target.,-,-,-,-,[0.05;0.3;6],pool
icicle,Icicle,Icicle,-,fight,1,Deals 1x Focus SkillType.Ice damage to target.,-,-,-,-,[0.5;3;2],pool
icu,ICU,ICU,ICU,root,3,Revive an ally at 35% Max HP after 2 turns. Requires and removes Nurse.,Revives ally with 65% Max HP,Ally gains Free Turn,-,-,[0.02;0.1;0.2;0.25;0.3;0.35;0.4;0.5;0.65;0.75;1.0;1.35;12.0;2;3],json
icybulwark,IcyBulwark,Icy Bulwark,-,enemy,0,-,-,-,-,-,-,name-only
icyclaws,IcyClaws,Icy Claws,-,fight,1,"Deals SkillType.Physical and SkillType.Ice damage to target, lowers Discipline, and deals SkillType.Ice damage over time.",-,-,-,-,[0.1;0.65],pool
icygrasp,IcyGrasp,Icy Grasp,-,enemy,1,Target takes 0.5x Power SkillType.Ice damage and can no longer bleed out.,-,-,-,-,[0.25;0.4;0.5;0.75;1.0],pool
illusion,Illusion,Illusion,Illusion,root,3,Target ally cannot be directly targeted by enemies and decreases damage taken by 50% for 1 turn.,Target ally's skills cannot miss,Target's SkillType.Spell skill hits deal 50% increased damage,-,-,[0.15;0.2;0.25;0.5;1.0;1.5;2;3],json
imbuerune,ImbueRune,Imbue Rune,Imbue,root,3,"Add an effect to current Rune, and apply to an ally. Effect loses 25% strength on trigger.",Only loses 20% strength on trigger,Always at least 35% effective,-,-,[0.5;2;7],pool
impale,Impale,Impale,-,root,2,Deals 3x Power piercing SkillType.Physical damage to target. Three turn charge.,Deal extra damage up to 10% of target's current HP,-,-,-,[0.01;0.1;0.15;2;3],pool
imperative,Imperative,Imperative,-,defend,3,Sacrifice 20% of current HP. Fortified ally gains a Free Turn. 4 turn charge.,Sacrifice 20% of current HP. Fortified ally gains a Free Turn.,Ally restores 20% Max MP,-,-,[0.2;3;2],pool
impgrenade,ImpGrenade,Imp Grenade,-,enemy,1,Deals 1x Power SkillType.Physical and 0.5x Power SkillType.Fire damage to target enemies. 3 uses.,-,-,-,-,[0.5],pool
implosion,Implosion,Implosion,-,root,3,Bonus Action. Sacrifice Bound Imp to deal damage to all enemies. Cannot have Hellish Vigor.,Heal for 25% of your Imp's HP,Implosion skill deals 50% increased damage,-,-,[0.25;0.5;2;3],pool
incision,Incision,Incision,Incision,root,3,Deals 0.85x Power SkillType.Physical damage and lowers target's Endurance by 20% for 3 turns.,Increases all damage target takes by 25%,Nullifies SkillType.Healing on target,-,-,[0.25;0.8;1.0;2.0;20.0;2;3],json
infernalbreath,InfernalBreath,Infernal Breath,Inferno,enemy,1,Deals 2.0x Focus SkillType.Fire damage to enemies in an area.,-,-,-,-,[0.01;0.15;0.25;0.5;2.0],pool
injunction,Injunction,Injunction,Injunction,root,3,Target's next turn is interrupted. Once per enemy.,Resets target's current turn progress if not resisted,Deals 0.35x Focus SkillType.MP damage if not resisted,-,-,[0.35;3;2],json
innerfire,InnerFire,Inner Fire,Inner Fire,enemy,1,"Increases Speed, Power, and Focus by +12. Stacks infinitely.",-,-,-,-,[-1.2;0.05;0.07;0.2;0.25;0.3;0.5;0.6;0.7;1.2;2.5;3.1416;12.0;30.0],json
inspire,Inspire,Inspire,Inspire,root,3,"Bonus Action. Share 2% of OWNER.NAME's attributes with all allies for each stack of Heroism, until OWNER.NAME's next turn.",Allies gain turn progress for each stack of Heroism,Heals allies by 1% missing HP for each stack of Heroism,-,-,[0.01;0.25;0.65;1.0;15.0;2;3],json
instruct,Instruct,Instruct,-,defend,2,"Command ally with Bargain to use one of their skills, if possible.",Decreased turn delay by 35%,-,-,-,[35.0;2;3;7],pool
intangible,Intangible,Intangible,Intangible,enemy,1,Decreases damage taken by 95% for one turn.,-,-,-,-,[0.05;0.25;0.5;0.8;1.0],json
intimidate,Intimidate,Intimidate,-,root,2,Deals 1.5x Power SkillType.Stun damage to an enemy. Always hits.,50% more damage to enemies with lower HP,-,-,-,[0.1;0.2;0.25;0.4;0.5;1.0;1.5;1.75;2.0;10.0;12.0;30.0;2;3],pool
invademind,InvadeMind,Invade Mind,Invade Mind,enemy,1,"Target cannot heal and attacks an adjacent teammate for 3 turns with Void Strike, if possible.",-,-,-,-,[2.0],json
invent,Invent,Invent,-,defend,1,Bonus Action. Target ally gains a random single use SkillType.Gadget skill.,-,-,-,-,[0.5;1.8;2;7;3],pool
invigorate,Invigorate,Invigorate,-,root,3,Restores 1.5x Focus MP to target ally. +50% to Fortified ally.,Also restores 1.5x Focus HP,Dispels all SkillType.Debuff,-,-,[0.2;0.4;0.5;0.6;1.0;1.5;3;2],pool
invigoratehusk,InvigorateHusk,Invigorate Husk,-,enemy,1,"Restores MP of an ally husk, grants bonus speed for 3 turns, and gives them a free turn.",-,-,-,-,[0.2],pool
invisiblewall,InvisibleWall,Invisible Wall,InvisWall,root,3,Bonus Action. Blocks up to 1.5x Technique direct damage taken by the party.,Consume 25% of MP to increase shield,Shield blocks 15% more damage,-,-,[0.1;0.25;0.75;1.0;1.1;1.15;1.5;2;3;4],pool
ionblast,IonBlast,Ion Blast,-,fight,4,Deals 0.75x Power SkillType.Energy damage to target enemy. Hits adjacent targets if Nuclear Battery charge is at least 25%.,Deals 0.75x Power SkillType.Energy damage to target enemies.,Hits all enemies if Nuclear Battery charge is at least 50%,Also deals 2x Power SkillType.Stun damage if Nuclear Battery charge is at least 50%,-,[0.2;0.5;2.0;25.0;50.0;3;2],pool
irradiate,Irradiate,Irradiate,-,defend,1,Removes all debuffs and heals self slightly.,-,-,-,-,[0.1;0.1529;0.5;0.65;0.8471;0.9098;2.0],pool
isolate,Isolate,Isolate,-,enemy,0,-,-,-,-,-,[0.5;1.0;1.75;2;3;4],name-only
jab,Jab,Jab,-,fight,2,Bonus Action. Deals 0.75x Power SkillType.Physical damage.,Next SkillType.Attack deals 35% increased damage,-,-,-,[0.2;0.35;1.0;1.5;3;2],pool
jam,Jam,Jam,Jam,defend,3,Bonus Action. Use damaging SkillType.Sonic skills for three turns.,Can use Riff skill,Can use Guitar Solo skill,-,-,[0.2;1.5;2;7;3],json
javelin,Javelin,Javelin,-,root,0,-,-,-,-,-,-,name-only
jinx,Jinx,Jinx,Jinx,root,3,Target's chance to hit decreased by 50% for 3 turns.,Target cannot dodge,All hits on target become critical,-,-,[0.25;0.4;0.5;2.0;2.25;2;3],json
joust,Joust,Joust,-,root,3,Deals 2x Power SkillType.Physical damage to enemies in a line. Two turn charge.,Miss chance reduced by 10% for each stack of Honor,Deals 10% more damage for each stack of Honor,-,-,[0.01;0.1;0.15;0.25;0.6;1.0;2;3],pool
