Skill Name,Effect,,,Shared Effect,,Relic
Frost Shield,Single - Any,48,"Level 1: Blocks up to 2x Focus damage on target ally.
Level 2: Ally is immune to [Stun] damage
Level 3: Ally gains Focus equal to 20% of Elgeon's Focus",-,-,-
Break Ice,Single - Any,243,"Level 1: Deals 0.75x Focus damage per Frostbite stack. Consumes Frostbite.
Level 2: Always hits
Level 3: Consumed Frostbite stacks are spread to other enemies with Frostbite",-,-,-
Ice Spike,Cross - Any,72,"Level 1: Deals 0.8x Focus [Ice] damage to target then half damage in area.
Level 2: Pierces 50% of defenses
Level 3: Always deals critical damage",-,-,-
Blizzard,All - Party,170,"Level 1: Deals 0.5x Focus [Ice] damage to random enemy targets up to 8 times. 
Level 2: Hits up to 10 times
Level 3: Hits up to 12 times",-,-,Elgeon's Chill
Heal Beam,Single - Any,-,"Level 1: Heals critical ally with lowest HP for 1x Focus.
Level 2: Heals for 0.5x Focus for three turns
Level 3: Reduced turn delay after use",-,-,H34L Emitter
Standby,Self,-,"Level 1: Gain a Free Turn when an ally is critical.
Level 2: 35% chance to not end on trigger
Level 3: Stacks 3 times",-,-,-
Surge Protector,Passive,-,"Level 1: Blocks up to 500 [Lightning] damage per battle.
Level 2: Blocks up to 1000 [Lightning] damage per battle
Level 3: Halves [Lightning] damage taken",-,-,-
AutoAid,Passive,-,"Level 1: Automatically acts in battle. Immune to [Stun] and [Sleep] damage.
Level 2: Increases Speed by 100% when an ally is critical HP
Level 3: Gain Free Turn after Revive Beam",-,-,-
Robotic,Passive,-,"Level 1: Prevents Bleddout.
Level 2: Reduces [Physical] damage taken by 50%
Level 3: 65% reduced Stamina loss",-,-,-
MU-N8,Passive,-,"Level 1: Allies lose one [Debuff] effect every turn.
Level 2: [Poison] damage taken by allies reduced by 50%
Level 3: Allies gain 1 Resist after their turn",-,-,-
Self-Repair,Self,-,"Level 1: Restores 50% of HP on self when at critical HP. One use per battle.
Level 2: Dispels all [Debuff] effects 
Level 3: Reduced turn delay after use",-,-,-
Revive Beam,Single - Any,-,"Level 1: Revives a Downed ally with 20% Max HP. One use per battle.
Level 2: Two uses per battle
Level 3: Three uses per battle",-,-,-
Curse,Single - Any,-,"Level 1: Target's received [Healing] is reduced by 90% for 2 turns.
Level 2: Removes all [Buff] from target
Level 3: Lasts until removed",-,-,Witch's Grimoire
Undying Soul,Passive,-,"Level 1: Fatal damage converted to [MP] damage, unless MP is too low.
Level 2: Recuces [MP] damage taken by 25%
Level 3: Regenerate MP when low on MP",-,-,-
Death's Embrace,Passive,-,"Level 1: During Death Shroud, spend 25 MP to prevent allies being downed, but cannot restore MP.
Level 2: Death Shroud converts 80% of Endurance into Wisdom
Level 3: Death Shroud uses Dark Bargain on allies before they bleed out",-,-,-
Pale Servants,Passive,-,"Level 1: Automatically summon Zombies that block 50% of damage Sovras takes.
Level 2: Zombies gain increased Endurance
Level 3: Zombies gain life steal when attacking",-,-,-
Death Shroud,Self,-,"Level 1: Bonus Action. Gain Lv. 3 Reap and Dark Bargain skills. Ends at 0 MP. Charges over time.
Level 2: Gain 100% of Wisdom as Focus while active
Level 3: Always hit while active",-,-,-
Reap,Row - Melee,?,"Level 1: Deals 1x Focus [Dark] damage to targets.
Level 2: Up to 100% more damage based on target's missing HP
Level 3: Critical non-boss enemies are killed and removed",-,-,-
Dark Bargain,Single - Any,?,"Level 1: Revives a downed ally, but they take 10% Max HP damage over time, and can no longer bleed out.
Level 2: Ally gains 35% increased Endurance while active
Level 3: Ally no longer takes [Physical] damage over time",-,-,-
Grave's Call,Single - Any,49,"Level 1: Deals up to 5.5x Focus [Dark] damage to an enemy, based on target's missing HP.
Level 2: Deals up to 2x Focus [Dark] damage over time for 2 turns
Level 3: Target is instantly killed, instead of bleeding out, if Downed",-,-,Necronomicon
Shuriken,Row - Any,-,"Level 1: Deals 0.45x Power [Physical] damage up to 3x enemies.
Level 2: Hits 4x
Level 3: Hits 5x",-,-,-
Envenom,Passive,-,"Level 1: [Attack] skills deal up to 10% Max HP [Poison] damage each turn for 3 turns. Stacks 3 times.
Level 2: Decreases target Technique by 15% per stack
Level 3: Decreases target Power by 15% per stack",-,-,-
Subterfuge,Passive,-,"Level 1: Automatically Hide after using [Debuff] skills, if not already active.
Level 2: Heal for 25% Max HP after using Hide
Level 3: Deal 50% increased indirect damage while Hide is active",-,-,-
Ninja Tools,Self,-,"Level 1: Access Ninja Tools.
Level 2: Tools become level 2
Level 3: Tools become level 3",-,-,-
Caltrops,Self,?,"Level 1: Deals 100-125 [Physical] damage when enemies use [Melee] skills. Ends after being triggered 5 times.
Level 2: 50% chance to interrupt non-boss enemy's skill when triggered
Level 3: Adds a stack of Envenom when triggered",-,-,-
Grappling Hook,Single - Any,?,"Level 1: Pulls enemy into front row.
Level 2: Also deals 1x Power [Stun] damage
Level 3: Also triggers Caltrops, even if not active",-,-,-
Smoke Bomb,All - Party,?,"Level 1: Attacks against allies have a 35% chance to miss for two turns. One use.
Level 2: Lasts three turns
Level 3: Lasts four turns",Smoke Grenade,-,Utility Belt
Blinding Powder,Single - Melee,?,"Level 1: Decreases target's chance to hit with next skill by 80%.
Level 2: Lasts for three skills
Level 3: Lasts for five skills",-,-,-
Disarm,Single - Melee,24,"Level 1: Bonus Action. Deals 0.75x Power [Physical] damage and decreases target's Power by 50% for 1 turn.
Level 2: Also deals [Stun] damage
Level 3: Lasts 3 turns",-,-,Agent's Watch
Sweep Kick,Single - Melee,18,"Level 1: Deals 2x Power [Stun] damage to an enemy.
Level 2: Turn delay decreased by 50%
Level 3: Up to 100% more damage based on turn progress",-,-,-
Musket,Single - Any,-,"Level 1: Deals 1x Power [Physical] damage to target.
Level 2: Damage increased by 15%
Level 3: Damage increased by addiitonal 15%",-,-,-
Prepare,Self,-,"Level 1: Gain a Free Turn at the end of next turn.
Level 2: Gain 25% increased Technique until Free Turn
Level 3: Gain 50% increased Critical Damage until Free Turn",-,-,-
Black Powder,Passive,-,"Level 1: Deal 150% extra damage with [Ranged] skills, but takes a turn to reload.
Level 2: [Ranged] skills ignore 50% of target's Toughness
Level 3: [Ranged] skills gain 50% increased critical damage",-,-,-
Survivalist,Passive,-,"Level 1: Lose 25% less stamina when traveling through portals in conduit space.
Level 2: Healing items heal 50% more
Level 3: Gain an extra item from battle rewards",-,-,-
Bear Trap,Single - Any,-,"Level 1: Target's next turn is interrupted. Cannot be resisted. One use. No effect on Bosses.
Level 2: Target takes 35% HP [Physical] damage when turn is interrupted by trap
Level 3: 50% chance to not be removed",-,-,-
Aimed Shot,Single - Any,89,"Level 1: Deals 2x Power [Physical] damage. Cannot miss. Long turn delay.
Level 2: 25% increased damage
Level 3: Always critical hit",Musket,-,-
Toss,Single - Any,-,"Level 1: Throw a random ally. Deals 2.5x Korr's Power [Physical] damage to target.
Level 2: Also deals 1.5x Power of thrown ally
Level 3: Always throw ally with highest Power",-,-,Sasquatch Grip
Thick Fur,Passive,-,"Level 1: Decreases [Physical] and [Ice] damage taken by 30%.
Level 2: Gain 1 Resist before every turn
Level 3: 35% chance for incoming [Attack] skills to miss",-,-,-
Lone Wolf,Passive,-,"Level 1: Acts on his own in battle.
Level 2: Increases all attributes by 20%
Level 3: 35% reduced Stamina loss when traveling through conduit space",-,-,Korr's Solitude
Bestial Rage,Passive,-,"Level 1: When being hit, 15% chance to activate Enrage.
Level 2: Gain 15% increased Power while Enraged
Level 3: Doubles critical chance while Enraged",-,-,-
Enrage,Self,20,"Level 1: Increases [Physical] damage that you deal and take by 50% for 5 turns.
Level 2: Increases Speed by 25%
Level 3: Damage taken penalty reduced to 25%",-,-,-
Throw Axe,Single - Any,-,"Level 1: Deals 0.75x Power [Physical] damage to target enemy.
Level 2: Apply 50% of damage dealt as [Physical] damage over time for 3 turns.
Level 3: Stacks 3 times and refreshes duration on hit",-,-,-
Berserker,Passive,-,"Level 1: Sacrifice 10% current HP and taunts a random enemy every turn during Frenzy.
Level 2: Gain 20% turn progress when being hit or missing with [Attack] during Frenzy
Level 3: Also increases Power and Endurance by 20% for 3 turns. Stacks.",-,-,-
Raider,Passive,-,"Level 1: Gain 10% Turn Progress when dealing damage over time.
Level 2: Deal 50% increased damage to enemies with lower Power
Level 3: Frenzy lasts 5 turns",-,-,-
Battle Cry,All - Party,60,"Level 1: Increase ally maximum HP by 350 for 5 turns.
Level 2: Restore MP cost to allies on end
Level 3: Heals allies for 350 HP on effect end",-,-,Viking Warhorn
Thunder Hammer,Single - Melee,47,"Level 1: Deals 1.0x Power [Physical] and [Lightning] damage. Always hit with [Lightning] damage.
Level 2: Deals 2.0x Power [Stun] damage 
Level 3: Deals 0.65x Power [Lightning] damage over time for 3 turns",-,-,-
Lunge,Single - Melee,-,"Level 1: Deals 1x Power [Physical] damage. Shift to front row.
Level 2: Deals 25% more damage in front row.
Level 3: Hits enemy behind target for 0.6x Power",Powerfirst,-,-
Retreat,Self,-,"Level 1: Heals for 20% Max HP. Shift to back row.
Level 2: Restores 50% of missing MP
Level 3: Also heals adjacent allies",-,-,Vikki's Vulstaff
Hunter Stance,Passive,-,"Level 1: Stance. Counterattack for 1x Power when targeted by [Melee] skills. Active while in front row.
Level 2: Adds up to 1x Technique to hits with [Attack] skills
Level 3: Increases defense piercing by 50% for [Attack] skills while active",-,-,-
Tranquil Stance,Passive,-,"Level 1: Stance. Regenerate 1x Focus HP every turn. Active while in back row.
Level 2: Adds up to 1x Technique to hits with [Spell] skills
Level 3: Gain Free Turn when changing stances",-,-,-
Vulstaff,Self,-,"Level 1: Access Vulstaff skills. Requires Hunter Stance.
Level 2: Can use Cyclone Staff skill
Level 3: Can use Takedown skill",-,-,-
Sweep,Row - Melee,?,"Level 1: Deals 1x Power damage to target. Row takes 0.5x Power [Physical] damage.
Level 2: Enemies bleed for 50% [Physical] damage taken for 1 turn
Level 3: Bleed now lasts 2 turns",-,-,-
Cyclone Staff,Cross - Melee,?,"Level 1: Deals 0.65x Power [Physical] damage to enemies in an area.
Level 2: Shifts target randomly
Level 3: Deals double damage to target",-,-,-
Takedown,Single - Any,?,"Level 1: Deals 2.5x Power [Physical] damage to target critical enemy.
Level 2: Always deals critical damage
Level 3: Cannot miss",Execute,Coup de Gras,-
Winter's Gift,Self,-,"Level 1: Access Winter's Gift skills. Requires Tranquil Stance.
Level 2: Can use White Wind skill
Level 3: Can use Blizzard skill",-,-,-
White Wind,All - Party,?,"Level 1: Heals all party members for 0.25x Focus + 25% of their missing HP.
Level 2: Removes Sleep and Stun from allies
Level 3: Removes one [Debuff] from allies",-,-,-
Clown Hammer,Single - Melee,-,"Level 1: Deals 250-350 [Stun] damage to an enemy.
Level 2: Damage increased by 100
Level 3: 50% chance to gain Free Turn if miss",-,-,-
Balloon,Single - Any,-,"Level 1: Next damage missed target ally. Heals target for 10% Max HP when Balloon ends.
Level 2: Enemy takes [Stun] damage equal to healing
Level 3: 50% chance to remain active",-,-,Red Balloon
Honk,Passive,29,"Level 1: When targeted, 50% chance to use MP to interrupt non-boss enemy skill.
Level 2: Heal random ally for 10% Max HP when triggered
Level 3: 25% chance to interrupt all non-boss enemy skills",-,-,-
Comic Relief,Passive,-,"Level 1: Heals three random allies for 5% Max HP after every skill use.
Level 2: Allies regenerate MP when triggered
Level 3: Triggers when an enemy is interrupted",-,-,-
Nuisance,Passive,-,"Level 1: Redirects 50% of damage taken to strongest nearby ally.
Level 2: Taunt interrupted enemies for one turn
Level 3: 50% chance to dodge taunted enemies",Celebrity,-,-
Pie Gun,All - Party,-,"Level 1: Deals 400-500 [Stun] damage to random enemies 4 times. One use. Four turn charge. Cannot miss.
Level 2: Hits 6 random enemies
Level 3: 100% faster charge rate",-,-,-
Pratfall,Self,43,"Level 1: Step forward, then fall down.
Level 2: Turn delay decreased by 35%
Level 3: 35% chance to gain a free turn",Stumble,-,-
Prank,Single - Any,103,"Level 1: Target's next turn is interrupted. Once per enemy.
Level 2: Decreases target Technique by 20%
Level 3: Gain 20% turn progress when target is interrupted",-,-,Face Paint
High Note,Single - Any,-,"Level 1: Deals 1x Focus [Sonic] damage and increases MP cost of target's next skill by 250%. Cannot miss.
Level 2: 35% chance for target's next skill with an MP cost to miss
Level 3: 35% chance for target's next skill with an MP cost to fail",Screech,-,-
Celebrity,Passive,-,"Level 1: Redirects 50% of damage taken to strongest nearby ally.
Level 2: Taunt interrupted enemies for one turn
Level 3: 50% chance to dodge taunted enemies",Nuisance,-,-
Heartbreaker,Passive,-,"Level 1: Deals 5x Technique [Sonic] damage when Lover's Trance ends.
Level 2: Gain 35% turn progress when triggered
Level 3: Gain HP equal to 50% of damage dealt",-,-,-
Hypnotic Presence,Passive,-,"Level 1: Enemies take 1.75x Technique [Sleep] damage before every turn.
Level 2: Decreases dodge chance by up to 50% based on Sleep
Level 3: Increases damage taken by up to 35% based on Sleep",-,-,-
Vocal Training,Passive,-,"Level 1: Turn delay of [Sonic] skills decreased by 25%.
Level 2: Damage and healing increased by 20% for [Sonic] skills
Level 3: [Sonic] skills always critical hit",-,-,-
Lover's Trance,Single - Any,-,"Level 1: Bonus Action. Target cannot directly target Sophia for 3 turns. Ignores resist.
Level 2: Target counter attacks allies who target Sophia
Level 3: Take 35% less damage from target",-,-,-
Healing Aria,All - Party,86,"Level 1: Song. Heals allies for 0.35x [Character] Technique at the end of [Character]'s turn.
Level 2: Dispels one [Debuff] when healing
Level 3: Heals weakest ally twice",-,-,-
Treat,Single - Any,-,"Level 1: Heals an ally for 50% of their missing HP.
Level 2: Removes one [Debuff]
Level 3: Adds 1 Resist",-,-,-
Prescribe,Self,-,"Level 1: Access Prescription skills. Limit 1 per ally.
Level 2: Prescription skills heal target for 10% HP every turn
Level 3: Adds 50% of healing to Insurance",-,-,-
Antibiotics,Single - Any,?,"Level 1: Dispels all [Debuff] on target every turn.
Level 2: N/A
Level 3: N/A",-,-,-
Steroids,Single - Any,?,"Level 1: Increases Power and Speed by 35%, but 25% chance to lose control.
Level 2: N/A
Level 3: N/A",-,-,-
Stimulants,Single - Any,?,"Level 1: Increases Focus and Speed by 35%, but 25% chance to lose control.
Level 2: N/A
Level 3: N/A",-,-,-
Insurance,Passive,-,"Level 1: Gain Direct Billing healing as a shield, up to 1x Max MP.
Level 2: Shield takes 35% less damage
Level 3: Start battle at max shield",-,-,-
Direct Billing,Passive,-,"Level 1: Converts up to 15% of target ally MP into extra healing.
Level 2: Healing is increased by 35%
Level 3: Converts up to 100% more based on missing HP",-,-,-
Medical Degree,Passive,-,"Level 1: Increases [Healing] from skills by 25%.
Level 2: Increases Wisdom by 35%
Level 3: Increases Max MP by 25%",-,-,-
Malpractice,Single - Any,-,"Level 1: Deals [Physical] damage equal to Insurance shield. Consumes Insurance.
Level 2: Pierces 50% of defenses
Level 3: Only consumes half of Insurance",-,-,-
ICU,Single - Any,-,"Level 1: Revive an ally at 35% Max HP after 2 turns. Requires and removes Nurse.
Level 2: Revive ally with 65% Max HP
Level 3: Ally gains Free Turn",-,-,-
Call Nurse,Self,214,"Level 1: Summon a Nurse that uses Treat at the same level as Ramesh. Lasts 5 turns.
Level 2: Nurse healing adds to Insurance
Level 3: Automatically cast at the start of battle",-,-,-
Burning Fist,Single - Melee,-,"Level 1: Deals 0.8x Power [Physical] and [Fire] damage to target enemy.
Level 2: Deals 0.4x Power [Fire] damage over time for 3 turns
Level 3: Damage over time increased to 0.6x Power damage",-,-,-
Endless Embers,Passive,-,"Level 1: Gain one stack of Inner Fire at the end of every turn. Cannot act without Inner Fire.
Level 2: Deals 5% increased damage for each stack of Inner Fire
Level 3: Inner Fire cannot be dispelled",-,-,-
Infernal Spirit,Passive,-,"Level 1: With 4 or more stacks of Inner Fire, deal 1x Focus [Fire] damage to everyone at the end of your turn.
Level 2: Consumes 10% of current MP to increase damage
Level 3: Damage gains 35% piercing",-,-,-
Grant Wish,Passive,-,"Level 1: At start of Igneo's turn, a random ally gains a Free Turn.
Level 2: Ally gains 50% of missing MP
Level 3: Igneo also gains the ally's restored MP",Read Omen,-,-
Fireball,Cross - Any,76,"Level 1: Deals 1.2x Focus [Fire] damage to target enemies.
Level 2: Pierces 50% of defenses
Level 3: Deals 0.6x Focus [Fire] damage over time for 2 turns",-,-,-
Inner Fire,Passive,-,"Level 1: Increases Speed, Power, and Focus by +12. Stacks infinitely.
Level 2: N/A
Level 3: N/A",-,-,-
Stalk,Self,-,"Level 1: Next skill deals 60% increased damage. Cannot be targeted by enemies.
Level 2: Increases Technique by 25%
Level 3: Increases critical damage by 120%",Ambush,-,-
Macuahuitl,Passive,-,"Level 1: Hits with [Attack] skills cause 50% [Physical] damage over 3 turns. Stacks.
Level 2: Deals 5% more damage per stack
Level 3: Damage can critically hit",-,-,-
Bloodthirsty,Passive,-,"Level 1: Heal self for 15% of [Physical] damage dealt.
Level 2: Healing increased by up to 50% based on missing HP
Level 3: Converts 10% of overhealing from Bloodthirsty into Power for 1 turn",-,-,Eztli's Mask
Pounce,Single - Any,-,"Level 1: Prevent a non-boss enemy from acting and Rake them for 3 turns. Cannot be targeted while active. Requires Stalk. 3 turn charge.
Level 2: Dispel a [Buff] on target for each hit while active
Level 3: Increases damage by 25% while active",-,-,-
Tackle,Single - Melee,-,"Level 1: Deals 0.7x Power [Physical] and [Stun] damage to an enemy.
Level 2: Damge increased based on Speed
Level 3: Damage increased up to 50% vs targets with higher current Turn Progress",-,-,-
Football Pads,Passive,-,"Level 1: 50% chance to negate [Physical] hits taken.
Level 2: Reduces HP damage taken by 20%
Level 3: Cannot be critically hit",-,-,-
Athletic Training,Passive,-,"Level 1: Increases Endurance by 50%.
Level 2: Agility increased by 25%
Level 3: Speed increased by 25%",-,-,-
Trash Talker,Passive,-,"Level 1: Steal 25% Speed from all Taunted enemies.
Level 2: Take 25% less damage from Taunted enemies
Level 3: Deal 35% increased damage to Taunted enemies",-,-,-
Hype Up,Self - Party,-,"Level 1: Allies gain 50% increased Speed until their next turn. Charges over time.
Level 2: Allies deal 50% more damage their next turn
Level 3: Allies gain turn 50% progress",-,-,-
Zone Defense,Self - Adjacent,34,"Level 1: Stance. Automatically Protect adjacent allies. Decreases damage by 35%.
Level 2: Take 50% less redirected damage
Level 3: Gain turn progress from redirected damage",-,-,-
Blitz Stance,Self,34,"Level 1: Stance. Adds up to 0.5x Speed damage to [Attack] skill damage. Disables Bonus Actions.
Level 2: Increases Technique by 35% of Speed
Level 3: [Attack] skills have 35% less turn delay",-,-,Blitzer's Speed
Lightning,Single - Any,-,"Level 1: Deals 1.2x Focus [Lightning] damage to target.
Level 2: Hits twice for 0.8x Focus
Level 3: Always hits",-,-,-
Calm,Self,-,"Level 1: Bonus Action. Prevents Chaos Storm and increases Technique by 50%.
Level 2: Increases Wisdom by 50%
Level 3: Doubles MP regeneration",-,-,-
Mental Fortress,Passive,-,"Level 1: Allies gain 50% of Cain's Wisdom.
Level 2: Reduces MP damage taken by 50% for allies
Level 3: Doubles MP regeneration for allies",-,-,-
Volatile Capacitor,Passive,-,"Level 1: Reduces maximum MP by 75%. Start battle at 0 MP.
Level 2: Increases MP regeneration by up to 50% based on current MP
Level 3: Increases damage dealt by up to 50% based on current MP",-,-,-
Unstable Generator,Passive,-,"Level 1: Regenerate MP when dealing [Lightning] damage. MP healing received is reduced by 75%.
Level 2: After each turn, a random enemy takes 0.5x Focus [Lightning] damage for every 100 MP you have
Level 3: Increases Speed by 25% of your current MP",-,-,-
Chaos Storm,Passive,-,"Level 1: When at maximum MP, drains 100% of MP to deal [Lightning] damage to all enemies based on MP. Prevents MP gain until next turn.
Level 2: Take 35% less damage while exhausted
Level 3: Retain 25% of MP",-,-,-
Ball Lightning,Cross - Any,9,"Level 1: Deals 0.75x Focus [Lightning] damage that jumps to an adjacent enemy two times.
Level 2: Jumps 3 times
Level 3: Jumps 4 times",-,-,Storm Visor
Stasis Net,Single - Any,-,"Level 1: Deals 150-200 [Lightning] and [MP] damage over time for 3 turns. Three uses. Cannot miss.
Level 2: Steals MP from target
Level 3: Target cannot dodge",-,-,-
Pull Rope,Single - Any,-,"Level 1: Deals 100 [Stun] damage and pulls target enemy into front row.
Level 2: Damage gains 100% piercing
Level 3: Always critically hits",-,-,-
Invisible Wall,All - Party,-,"Level 1: Bonus Action. Blocks up to 1.5x Technique direct damage taken by the party.
Level 2: Consume 25% of MP to increase shield
Level 3: Shield blocks 15% more damage",-,-,-
Mime Master,Passive,-,"Level 1: Gain 5% attributes from characters of currently copied Mimicry skills.
Level 2: Invisible Wall no longer consumes MP
Level 3: Pull Rope now applies Prank effect",-,-,-
Stunning Mockery,Passive,-,"Level 1: Adds up to 1x Technique [Stun] damage to hits from skills.
Level 2: Deals 50% more added damage from Mimicry skills
Level 3: Damage can critically hit",-,-,-
Mimicry,Self,90,"Level 1: Copies the last copyable skill used by each ally. Cannot copy Bonus Actions or passive skills. 
Level 2: Copied skills cost 0 MP
Level 3: Copied skills have 35% reduced turn delay",-,-,-
Stumble,Self,37,"Level 1: Step forward, then fall down.
Level 2: Turn delay decreased by 35%
Level 3: 35% chance to gain a free turn",Pratfall,-,-
Slash,Single - Melee,-,"Level 1: Deals 1x Power [Physical] damage to an enemy.
Level 2: Apply 25% of damage dealt as [Physical] damage over time for 3 turns
Level 3: 50% increased critical hit chance",-,-,-
Regenerate,Self,-,"Level 1: Restores 33% Max HP on self.
Level 2: Restores 50% Max MP
Level 3: Dispels up to 3 [Debuff]",-,-,-
Liquid Metal,Passive,-,"Level 1: Take 60% decreased [Physical] and [Stun] damage, but 2x damage from [Fire] and [Ice].
Level 2: When hit by a [Melee] attack, return 2x TGH [Stun] damage to attacker
Level 3: Stamina loss decreased by 75%",-,-,-
Imitation,Passive,-,"Level 1: Whenever an ally uses a skill copied by Martial Database, Alpha has a 50% chance to use the same skill if possible.
Level 2: Target enemy with Assign Target effect if possible
Level 3: Skill no longer costs MP",-,-,-
Relentless,Passive,-,"Level 1: Gain Free Turn the first time an enemy is at critical HP or downed.
Level 2: Deal 25% increased damage against critical HP enemies
Level 3: Speed increased by 50% when any living enemy is at critical HP",-,-,-
Reform,Passive,-,"Level 1: Once per battle, skip the turn after being downed to revive self at 33% HP
Level 2: Revive at 66% HP
Level 3: Activate twice per battle",-,-,-
Martial Database,Self,-,"Level 1: Use [Melee] [Attack] skills from other allies at level 1, except [Gadget].
Level 2: Martial DB skills become level 2
Level 3: Martial DB skills become level 3",-,-,-
Assign Target,Single - Any,45,"Level 1: Increases target's damage taken from Alpha by 25%. Limit of one Assigned Target.
Level 2: Attacks target with Slash after it acts, if possible
Level 3: If the target gains a Free Turn, gain one as well",-,-,-
Pixie Dust,Self - Adjacent,-,"Level 1: Bonus Action. Heals adjacent allies for 0.5x Focus HP.
Level 2: Also restores 0.15x Focus MP
Level 3: Dispels a random [Debuff] and removes [Sleep] and [Stun] damage",-,-,Magic Satchel
Flit,Single - Any,-,"Level 1: Swap position and grant target ally 10% Turn Progress.
Level 2: Target gains double dodge chance for 1 turn
Level 3: Activates Pixie Dust after shifting",-,-,-
Fae Magic,Passive,-,"Level 1: [Buff] effects applied by Blueberry cannot be dispelled.
Level 2: [Debuff] cannot be dispelled
Level 3: [Buff] and [Debuff] last one extra turn",-,-,-
Nature's Shroud,Passive,-,"Level 1: Lose 25% less stamina when traveling through portals in conduit space.
Level 2: Start battle with 3 Resist
Level 3: Take 35% decreased damage from [Spell] skills",-,-,-
Spritely,Passive,-,"Level 1: Agility increased by 25% when hit. Stackable. All stacks are lost when you dodge.
Level 2: Immune to [Sleep] damage
Level 3: Agility cannot be reduced below base",-,-,-
Mischievous,Passive,-,"Level 1: After Blueberry applies [Debuff] to an enemy, add 1 turn to another random [Debuff] duration on the same target.
Level 2: Restores 0.75x Focus HP after applying [Debuff]
Level 3: 10% chance to gain Free Turn after an ally applies [Debuff] to an enemy",-,-,-
Fairy Curse,Single - Any,61,"Level 1: Target enemy's technique decreased by 50% for 2 turns.
Level 2: Target cannot dodge
Level 3: Target's [Healing] received decreased by 90%",-,-,-
Fairy Kiss,Single - Melee,45,"Level 1: Target ally's skills cannot miss for 1 turn.
Level 2: Target gains +10% to all attributes 
Level 3: Other [Buff] effects on target gain +1 turn duration",-,-,-
Faceless,Passive,-,"Level 1: On Death, be replaced by another Immortal up to 3 times, as long as at least one other ally is alive and not downed.
Level 2: Reduces Bleed Out to one turn
Level 3: Gain Free Turn when replaced",Replacement,-,-
Bodyguard,Passive,-,"Level 1: Increases Protect damage redirect up to 100%, based on ally's missing HP. Limit 1 Protect.
Level 2: Ally cannot take critical damage
Level 3: Ally cannot be downed by direct hits",-,-,-
Return Fire,Passive,60,"Level 1: Use MP to counterattack with your Primary skills when Protected ally is targeted.
Level 2: Decreases MP cost by 35%
Level 3: Counterattack gains 25% piercing",-,-,-
Detect Threats,Passive,-,"Level 1: When entering battle, decrease enemy damage dealt by 35% for 1 turn.
Level 2: Affected enemies have 50% reduced chance to hit
Level 3: Affected enemies cannot critically hit",-,-,-
Support,Single - Melee,-,"Level 1: Target ally gains 25% of your attributes. Limit one.
Level 2: Attributes given increased to 33%
Level 3: Gain a free turn when target ally is downed",-,-,Medic Backpack
Inspirational,Passive,-,"Level 1: Allies affected by [Song] skills gain 0.1x Seb's Technique as MP every turn.
Level 2: Adds up to 0.20x Technique damage to ally skills
Level 3: Ally skills have 10% decreased turn delay",-,-,-
Master of Song,Passive,-,"Level 1: Seb's different [Song] skills can stack with each other. Technique decreased by 10% for each song past the first.
Level 2: Technique penalty reduced to 5%
Level 3: Turn delay decreased bt 25% for [Song] skills",-,-,-
Coward,Passive,-,"Level 1: 35% chance to automatically Hide after being hit.
Level 2: 50% chance to dodge hits while hidden
Level 3: Always Hide while critical",-,-,-
Lute,Self,-,"Level 1: Access learned Song skills.
Level 2: Songs become level 2
Level 3: Songs become level 3",-,-,-
Ballad,All - Party,?,"Level 1: Song. Increases Power and Toughness by 20% of [Character]'s TEC for all allies.
Level 2: Allies gain 1 Resist after their turn
Level 3: Decreases damage taken by 15%",Power Ballad,-,-
Melody,All - Party,?,"Level 1: Song. Increases Focus and Discipline by 20% of [Character]'s Technique for all allies.
Level 2: Doubles MP regeneration for all allies
Level 3: Allies take 50% less [MP] damage",-,-,Melodic Score
Nature Affinity,Passive,-,"Level 1: Gain Nature stack after using Nature Magic. Stacks decrease turn delay for Astral Magic. Max 5 stacks.
Level 2: Each stack increases Toughness by 10
Level 3: Each stack increases Endurance by 10",-,-,-
Astral Affinity,Passive,-,"Level 1: Gain Astral stack after using Astral Magic. Stacks increase healing and damage of Nature Magic by 10%. Max 5 stacks.
Level 2: Each stack increases Discipline by 10
Level 3: Each stack increases Speed by 10",-,-,-
Nature Magic,Self,-,"Level 1: Access Nature Magic skills. Each use grants Nature stack.
Level 2: Nature Magic skills become level 2
Level 3: Nature Magic skills become level 3",-,-,-
Regrowth,Single - Any,?,"Level 1: Heals an ally for 0.75x Focus, then 0.3x Focus per turn for 3 turns.
Level 2: Increases target Endurance by 35%
Level 3: Heals up to 50% more based on target's missing HP",-,-,Floral Seed
Healing Rain,Self - Party,?,"Level 1: All allies heal for 0.75x Focus for three turns.
Level 2: Removes one [Debuff] per heal
Level 3: Lasts 5 turns",-,-,Waking Water
Vine Grasp,Single - Any,?,"Level 1: Deals 0.75x Focus [Physical] and [Stun] damage to target. Lasts 3 turns.
Level 2: Decreases Agility by 35%
Level 3: Decreases Speed by 35%",-,-,-
Astral Magic,Self,-,"Level 1: Access Astral Magic skills. Each use grants Astral stack.
Level 2: Astral Magic skills become level 2
Level 3: Astral Magic skills become level 3",-,-,-
Sunbeam,Single - Any,?,"Level 1: Deals 0.35x Focus [Fire] damage to target five times.
Level 2: Each miss increases chance to hit by 25%
Level 3: Each hit increases damage by 50%",-,-,-
